date_range_start,date_range_end,state,census_block_group,number_devices_residing
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481390605002,60
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,483750147001,149
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482150235041,185
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482015411001,290
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,483550035002,100
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130204003,343
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482014203001,70
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484579502002,118
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481872104001,105
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484499503002,105
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,483810206002,60
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484410106002,118
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481677234002,133
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130161002,72
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130111031,62
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480410007002,24
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484199502003,107
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481899503003,73
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482015319003,117
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482014329011,115
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484910201152,128
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130152042,66
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130146011,49
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,483550006007,29
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,483899502002,28
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480291306004,42
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,483239502013,108
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482850003002,55
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482770001023,120
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,483090011002,38
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482015217004,155
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484510012006,74
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482150202012,97
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480291309003,98
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480270205003,55
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484790006021,65
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130027021,54
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484530018494,30
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484530024112,107
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480610139031,69
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480291815043,29
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,483217307004,86
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482014208001,45
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481410034032,37
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481410105053,29
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484530018541,111
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,483250001013,249
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480396637001,161
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480410020091,157
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482012508002,152
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480850316241,67
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482199502001,137
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130064023,40
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484510011026,61
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480291719022,252
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484391065093,86
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484999508004,96
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482012526002,99
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130158001,64
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480850318044,78
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130197002,45
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482030203024,51
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484139503001,41
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480370101001,37
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480396606021,1237
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480850320112,98
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480396609002,191
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130167033,181
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480610118011,253
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481210215053,115
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130078211,75
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480679507004,124
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480850313104,186
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130096073,157
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484850102001,125
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481479504014,128
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484717906004,55
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480079505004,250
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482013237021,166
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481810007001,92
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484391114052,172
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130138032,60
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484530023102,103
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480610133062,40
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482013136003,60
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,483550032032,57
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480291402004,14
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482499506001,58
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482015544012,956
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482013307001,201
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130153063,84
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482059502002,119
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482511308003,55
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481479506002,154
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484850119002,93
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,483810217033,221
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,480610133092,65
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484771704004,240
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482450054002,11
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484059502003,84
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481677213003,298
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482150204043,154
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482015516003,171
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,484530001013,69
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481210215132,120
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481130126032,50
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,482013305003,41
2020-07-06T07:00:00Z,2020-07-13T07:00:00Z,tx,481677207003,413
